materialCategory,Category,MaterialType,materialDensity,materialConductivity,materialHeatCapacity
Brick,Masonry Materials: Masonry units,"Clay tile, hollow 1 cell deep 4 in",424.4892801000002,0.1137599999999998,1840.517279999999
Wood,Building Board and Siding: Board,Waferboard,592.6831458,0.09072,1884.06
Cement,Masonry Materials: Concrete blocks h,"Normal-weight aggregate (sand and gravel) 8 in 33 to 36 lb, 126 to 136 lb/ft3 concrete, with perlite-filled cores ",424.4892801000002,0.1137599999999998,1840.517279999999
Alluminium,Building Board and Siding: Siding,"Aluminum, steel, or vinyl k over sheathing insulated vinyl siding 3/4 - 1 1/4 in m",424.4892801000002,0.1137599999999998,1840.517279999999
Brick,Masonry Materials: Masonry units,"Brick, fired clay",2082.400242,1.0224,841.1281199999993
Brick,Masonry Materials: Concrete blocks h,Gypsum partition tile 3 by 12 by 30 in solid 4 cells,424.4892801000002,0.1137599999999998,1840.517279999999
Asphalt,"Metal roofing (See Chapter 33, Table 3)",Asphalt shingles,1121.292438,0.2707631999999996,1256.04
Cement,Masonry Materials: Concretes,Polymer concrete,1954.2525348,1.6416,803.8655999999987
Wood,Building Board and Siding: Board,Oriented strand board (OSB) 7/16 in,656.7569994,0.1269648,1884.06
Cement,Plastering Materials,Sand aggregate,1681.938657,0.8063999999999999,837.36
Brick,Masonry Materials: Masonry units,"Brick, fired clay",2242.584876,1.1808,861.2247599999994
Cement,Masonry Materials: Concretes,Slag concrete,1601.84634,0.4319999999999999,880.06536
Linoleum,Finish Flooring,Linoleum/cork tile 1/4 in,464.5354386,0.1207224000000002,1820.42064
Cement,Masonry Materials: Concrete blocks h,"Lightweight aggregate (expanded shale, clay, slate or slag, pumice) 12 in 32 to 36 lb, 80 to 90 lb/ft3, concrete, with vermiculite-filled cores",424.4892801000002,0.1137599999999998,1840.517279999999
Brick,Masonry Materials: Masonry units,"Brick, fired clay",1601.84634,0.6696,870.8544000000002
Wood,Building Board and Siding: Board,"Vegetable fiber board sheathing, tile and lay-in panels, plain or acoustic",288.3323412,0.0576,586.152
Cement,Masonry Materials: Concretes,"Lightweight aggregate or limestone concretes expanded shale, clay, or slate; expanded slags; cinders; pumice (with density up to 100 lb/ft3); scoria (sanded concretes have conductivities in higher end of range)",1922.215608,1.116,808.4710799999992
Cement,Masonry Materials: Concrete blocks h,"Normal-weight aggregate (sand and gravel) 8 in 33 to 36 lb, 126 to 136 lb/ft3 concrete, with vermiculite-filled cores ",424.4892801000002,0.1137599999999998,1840.517279999999
Brick,Masonry Materials: Masonry units,"Clay tile, hollow 1 cell deep 3 in",640.7385359999988,0.2001600000000002,879.228
Alluminium,Building Board and Siding: Siding,"Aluminum, steel, or vinyl over sheathing k",424.4892801000002,0.1137599999999998,1840.517279999999
Cement,Masonry Materials: Concrete blocks h,"Lightweight aggregate (expanded shale, clay, slate or slag, pumice) 12 in 32 to 36 lb, 80 to 90 lb/ft3, concrete, with perlite-filled cores",424.4892801000002,0.1137599999999998,1840.517279999999
Rockwool,Insulating material: Loose fill,"Rock and slag wool d attics, ~3.5 - 4.5 in",24.82861827,0.04896,995.6210399999998
Wood,Woods (12% moisture content) l: Softwoods,Softwoods,513.1514750189997,0.1410192000000001,1632.852
