materialCategory,materialDescription,materialType,materialDensity,materialConductivity,materialHeatCapacity
Cement,Masonry Materials: Concrete blocks h,"Lightweight aggregate (expanded shale, clay, slate or slag, pumice) 8 in 19 to 22 lb, 72 to 86 lb/ft3 concrete with molded-EPS-filled (beads) cores",424.4892801000002,0.1137599999999998,1840.517279999999
Wood,Woods (12% moisture content) l: Hardwoods,Spruce.,400.461585,0.11448,1843.029359999999
Polyisocyanurate,Insulating material: Board and slabs,"Polyisocyanurate with foil facers, aged 180 days",31.23600363000003,0.02232,1580.935680000001
Rubber,Finish Flooring,Pile carpet with rubber pad3/8 - 1/2 in,288.3323412,0.1059263999999999,1579.260959999999
Brick,Masonry Materials: Masonry units,"Brick, fired clay",1121.292438,0.4032,1055.073599999999
Cement,Masonry Materials: Concretes,Polystyrene concrete (oven-dried),528.6092922,0.36576,837.36
Wood,Woods (12% moisture content) l: Hardwoods,Douglas fir/larch,560.646219,0.14112,1615.26744
Cement,Masonry Materials: Concretes,"Cement/lime, mortar, and stucco",1601.84634,0.9648,828.9864000000001
Wood,Building Board and Siding: Siding,"Wood, drop, 8 in 1 in",789.0695070840011,0.2098656,1172.304
Polystyrene,Insulating material: Board and slabs,"Extruded polystyrene, smooth skin",1121.292438000001,0.2482271999999997,1465.38
Wood,Building Board and Siding: Siding,"Wood, plywood, 3/8 in lapped.",704.8123896000017,0.1051199999999999,1214.172
Wood,Building Board and Siding: Board,"Vegetable fiber board sheathing, homogeneous board from repulped paperHardboard",480.5539020000001,0.072,1172.304
Wood,Finish Flooring,Carpet and rubber pad (one-piece)3/8 in,320.369268,0.1151999999999999,1743.383519999999
Cement,Masonry Materials: Concrete blocks h,"Medium-weight aggregate (combinations of normal and lightweight aggregate) 8 in 26 to 29 lb, 97 to 112 lb/ft3 concrete, with molded-EPS-filled (beads) cores ",424.4892801000002,0.1137599999999998,1840.517279999999
Glass,"Insulating material: Blanket and batt c, d",Glass-fiber batts,22.42584876,0.03312,1363.22208
Asphalt,"Metal roofing (See Chapter 33, Table 3)",Asphalt (bitumen with inert fill),2306.6587296,1.14768,863.9461799999999
Cement,Building Board and Siding: Board,Fiber/cement board,320.369268,0.0576,1884.06
Straw,"Metal roofing (See Chapter 33, Table 3)",Straw thatch,240.276951,0.07056,1256.039999999997
Glass,Insulating material: Spray applied,"Glass fiber, sprayed into open wall or attic cavities",32.83784997,0.03528,1257.71472
Wood,Building Board and Siding: Board,Plywood (douglas fir) 5/8 in,544.6277556,0.1155023999999999,1884.06
